source_frame,driving_video
/data/fhongac/origDataset/vox1_frames/test/id10292#ENIHEvg_VLM#009003#009125.mp4/0000075.png,/data/fhongac/origDataset/vox1/test/id10290#gTbcgoYXWdU#001173#001330.mp4
/data/fhongac/origDataset/vox1_frames/test/id10291#iPZGPcrYIZs#001845#001954.mp4/0000073.png,/data/fhongac/origDataset/vox1/test/id10280#XiKRlssBw2M#002515#002899.mp4
/data/fhongac/origDataset/vox1_frames/test/id10290#KacOkTDTi-g#001178#001596.mp4/0000243.png,/data/fhongac/origDataset/vox1/test/id10286#iH0jGPqp3Hc#001068#001316.mp4
/data/fhongac/origDataset/vox1_frames/test/id10285#FUqAFZmZJ80#002494#002681.mp4/0000029.png,/data/fhongac/origDataset/vox1/test/id10292#57KbI2UvGss#005240#005327.mp4
/data/fhongac/origDataset/vox1_frames/test/id10285#FUqAFZmZJ80#008726#008862.mp4/0000040.png,/data/fhongac/origDataset/vox1/test/id10282#qkZNuvX1UNo#005006#005131.mp4
/data/fhongac/origDataset/vox1_frames/test/id10291#iPZGPcrYIZs#001845#001954.mp4/0000014.png,/data/fhongac/origDataset/vox1/test/id10290#cIi74VD0LF0#001108#001207.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#002515#002899.mp4/0000242.png,/data/fhongac/origDataset/vox1/test/id10282#IDA_ElNHLn4#001226#001390.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#4oOmqI1myzY#000153#000298.mp4/0000162.png,/data/fhongac/origDataset/vox1/test/id10292#57KbI2UvGss#012058#012168.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#4oOmqI1myzY#000153#000298.mp4/0000133.png,/data/fhongac/origDataset/vox1/test/id10281#NHARUN9OhSo#006912#007284.mp4
/data/fhongac/origDataset/vox1_frames/test/id10286#9K2YB1d8BqY#002627#002747.mp4/0000106.png,/data/fhongac/origDataset/vox1/test/id10283#j8UugkSTzzk#003016#003315.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#002515#002899.mp4/0000276.png,/data/fhongac/origDataset/vox1/test/id10283#N69Hp2DGMLk#006600#007118.mp4
/data/fhongac/origDataset/vox1_frames/test/id10286#DPPq8w5ILrA#001643#001896.mp4/0000165.png,/data/fhongac/origDataset/vox1/test/id10283#uA1E_38TuTw#002329#002480.mp4
/data/fhongac/origDataset/vox1_frames/test/id10285#FUqAFZmZJ80#003826#003938.mp4/0000045.png,/data/fhongac/origDataset/vox1/test/id10283#u3s9xdUlmmk#002068#002339.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#002515#002899.mp4/0000328.png,/data/fhongac/origDataset/vox1/test/id10290#gTbcgoYXWdU#001513#001814.mp4
/data/fhongac/origDataset/vox1_frames/test/id10290#gTbcgoYXWdU#001513#001814.mp4/0000263.png,/data/fhongac/origDataset/vox1/test/id10283#u3s9xdUlmmk#001259#001943.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#dX8RBKI2FKc#005153#005367.mp4/0000256.png,/data/fhongac/origDataset/vox1/test/id10280#XiKRlssBw2M#002515#002899.mp4
/data/fhongac/origDataset/vox1_frames/test/id10286#mYc2BIS0zWU#001946#002062.mp4/0000042.png,/data/fhongac/origDataset/vox1/test/id10284#Uzxv7Axh3Z8#019680#019858.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#4oOmqI1myzY#000153#000298.mp4/0000146.png,/data/fhongac/origDataset/vox1/test/id10283#vaK4t1-WD4M#026109#026212.mp4
/data/fhongac/origDataset/vox1_frames/test/id10289#8l5ZnDf-FUA#005635#005731.mp4/0000007.png,/data/fhongac/origDataset/vox1/test/id10281#NHARUN9OhSo#001059#001210.mp4
/data/fhongac/origDataset/vox1_frames/test/id10284#Rzpm9hlXV6I#005604#005821.mp4/0000047.png,/data/fhongac/origDataset/vox1/test/id10292#ENIHEvg_VLM#009413#009517.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#bP0bKbQQlzc#000799#001179.mp4/0000343.png,/data/fhongac/origDataset/vox1/test/id10282#Zbz058o9j6s#003945#004076.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#001538#002000.mp4/0000288.png,/data/fhongac/origDataset/vox1/test/id10281#ni6gO5jDLJE#000045#000170.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#ni6gO5jDLJE#001162#001282.mp4/0000062.png,/data/fhongac/origDataset/vox1/test/id10289#3g9CjhcNEWk#002484#002710.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#RfDogGJ-UnM#000988#001052.mp4/0000056.png,/data/fhongac/origDataset/vox1/test/id10284#Rzpm9hlXV6I#005604#005821.mp4
/data/fhongac/origDataset/vox1_frames/test/id10285#m-uILToQ9ss#004267#004374.mp4/0000095.png,/data/fhongac/origDataset/vox1/test/id10283#gAKHqHbNt2g#017692#018552.mp4
/data/fhongac/origDataset/vox1_frames/test/id10282#qkZNuvX1UNo#005006#005131.mp4/0000087.png,/data/fhongac/origDataset/vox1/test/id10286#0sETQ5nxvf8#001227#001472.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#001538#002000.mp4/0000041.png,/data/fhongac/origDataset/vox1/test/id10287#RfDogGJ-UnM#000988#001052.mp4
/data/fhongac/origDataset/vox1_frames/test/id10282#IDA_ElNHLn4#001226#001390.mp4/0000063.png,/data/fhongac/origDataset/vox1/test/id10286#mYc2BIS0zWU#001946#002062.mp4
/data/fhongac/origDataset/vox1_frames/test/id10284#YN4cTBWM-QE#021127#021712.mp4/0000353.png,/data/fhongac/origDataset/vox1/test/id10280#XiKRlssBw2M#000330#001148.mp4
/data/fhongac/origDataset/vox1_frames/test/id10291#kt4P4cyTpWQ#001903#002115.mp4/0000119.png,/data/fhongac/origDataset/vox1/test/id10283#vaK4t1-WD4M#014822#015172.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#NHARUN9OhSo#006609#006906.mp4/0000158.png,/data/fhongac/origDataset/vox1/test/id10284#YN4cTBWM-QE#021729#021933.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#MHoaMi5hKkE#000266#000468.mp4/0000144.png,/data/fhongac/origDataset/vox1/test/id10291#d2Lasybvo7s#000793#001178.mp4
/data/fhongac/origDataset/vox1_frames/test/id10289#8l5ZnDf-FUA#005635#005731.mp4/0000035.png,/data/fhongac/origDataset/vox1/test/id10287#bP0bKbQQlzc#000799#001179.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#001538#002000.mp4/0000277.png,/data/fhongac/origDataset/vox1/test/id10291#kt4P4cyTpWQ#007598#007712.mp4
/data/fhongac/origDataset/vox1_frames/test/id10286#9K2YB1d8BqY#000979#001081.mp4/0000093.png,/data/fhongac/origDataset/vox1/test/id10289#sf4uMnkYFG8#004895#005541.mp4
/data/fhongac/origDataset/vox1_frames/test/id10282#OjG2EYFgubs#002893#002993.mp4/0000074.png,/data/fhongac/origDataset/vox1/test/id10291#uiBjIKX_0l8#000067#000277.mp4
/data/fhongac/origDataset/vox1_frames/test/id10284#YN4cTBWM-QE#021729#021933.mp4/0000241.png,/data/fhongac/origDataset/vox1/test/id10286#isKyMAYUOgg#004429#004634.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#NHARUN9OhSo#002098#002175.mp4/0000027.png,/data/fhongac/origDataset/vox1/test/id10284#YN4cTBWM-QE#021127#021712.mp4
/data/fhongac/origDataset/vox1_frames/test/id10286#9K2YB1d8BqY#000979#001081.mp4/0000112.png,/data/fhongac/origDataset/vox1/test/id10289#zFii0ROZZjc#002582#002807.mp4
/data/fhongac/origDataset/vox1_frames/test/id10282#Zbz058o9j6s#002664#002764.mp4/0000042.png,/data/fhongac/origDataset/vox1/test/id10291#d2Lasybvo7s#000067#000276.mp4
/data/fhongac/origDataset/vox1_frames/test/id10292#57KbI2UvGss#011687#011827.mp4/0000006.png,/data/fhongac/origDataset/vox1/test/id10290#gTbcgoYXWdU#001513#001814.mp4
/data/fhongac/origDataset/vox1_frames/test/id10282#neQO6_CUY4w#002906#003048.mp4/0000118.png,/data/fhongac/origDataset/vox1/test/id10281#NHARUN9OhSo#006609#006906.mp4
/data/fhongac/origDataset/vox1_frames/test/id10291#kt4P4cyTpWQ#005276#005437.mp4/0000031.png,/data/fhongac/origDataset/vox1/test/id10290#jjzisko126k#001017#001182.mp4
/data/fhongac/origDataset/vox1_frames/test/id10283#vaK4t1-WD4M#010095#010381.mp4/0000063.png,/data/fhongac/origDataset/vox1/test/id10282#Zbz058o9j6s#003945#004076.mp4
/data/fhongac/origDataset/vox1_frames/test/id10282#neQO6_CUY4w#003346#003890.mp4/0000410.png,/data/fhongac/origDataset/vox1/test/id10286#9K2YB1d8BqY#002331#002614.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#NHARUN9OhSo#007425#007663.mp4/0000265.png,/data/fhongac/origDataset/vox1/test/id10290#gTbcgoYXWdU#000481#000592.mp4
/data/fhongac/origDataset/vox1_frames/test/id10284#YN4cTBWM-QE#021729#021933.mp4/0000120.png,/data/fhongac/origDataset/vox1/test/id10283#vaK4t1-WD4M#021064#021192.mp4
/data/fhongac/origDataset/vox1_frames/test/id10283#p3q7Z0O6rgg#000270#000454.mp4/0000011.png,/data/fhongac/origDataset/vox1/test/id10281#NHARUN9OhSo#006912#007284.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#bP0bKbQQlzc#003288#003417.mp4/0000115.png,/data/fhongac/origDataset/vox1/test/id10291#98qWWArcL3Y#008185#008314.mp4
/data/fhongac/origDataset/vox1_frames/test/id10285#Zdmm9Mrr8Ts#000390#000559.mp4/0000085.png,/data/fhongac/origDataset/vox1/test/id10282#Zbz058o9j6s#004557#004656.mp4
/data/fhongac/origDataset/vox1_frames/test/id10285#FUqAFZmZJ80#002494#002681.mp4/0000094.png,/data/fhongac/origDataset/vox1/test/id10280#XiKRlssBw2M#002006#002397.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#ni6gO5jDLJE#000045#000170.mp4/0000036.png,/data/fhongac/origDataset/vox1/test/id10289#3g9CjhcNEWk#001295#001783.mp4
/data/fhongac/origDataset/vox1_frames/test/id10286#mYc2BIS0zWU#001946#002062.mp4/0000000.png,/data/fhongac/origDataset/vox1/test/id10289#8l5ZnDf-FUA#008599#008959.mp4
/data/fhongac/origDataset/vox1_frames/test/id10281#NHARUN9OhSo#000605#000886.mp4/0000011.png,/data/fhongac/origDataset/vox1/test/id10285#FUqAFZmZJ80#002494#002681.mp4
/data/fhongac/origDataset/vox1_frames/test/id10280#XiKRlssBw2M#000330#001148.mp4/0000183.png,/data/fhongac/origDataset/vox1/test/id10281#NHARUN9OhSo#006609#006906.mp4
/data/fhongac/origDataset/vox1_frames/test/id10290#gTbcgoYXWdU#000698#001023.mp4/0000362.png,/data/fhongac/origDataset/vox1/test/id10289#zFii0ROZZjc#000643#000821.mp4
/data/fhongac/origDataset/vox1_frames/test/id10290#cIi74VD0LF0#000811#001065.mp4/0000208.png,/data/fhongac/origDataset/vox1/test/id10289#3g9CjhcNEWk#004606#004846.mp4
/data/fhongac/origDataset/vox1_frames/test/id10291#iPZGPcrYIZs#003385#003485.mp4/0000016.png,/data/fhongac/origDataset/vox1/test/id10281#ni6gO5jDLJE#005216#005364.mp4
/data/fhongac/origDataset/vox1_frames/test/id10291#d2Lasybvo7s#005026#005502.mp4/0000064.png,/data/fhongac/origDataset/vox1/test/id10281#ni6gO5jDLJE#000045#000170.mp4
/data/fhongac/origDataset/vox1_frames/test/id10284#EoCPhxtWUOc#002260#002691.mp4/0000501.png,/data/fhongac/origDataset/vox1/test/id10282#neQO6_CUY4w#000765#001023.mp4
/data/fhongac/origDataset/vox1_frames/test/id10287#MHoaMi5hKkE#001008#001291.mp4/0000184.png,/data/fhongac/origDataset/vox1/test/id10281#ni6gO5jDLJE#003515#003915.mp4
